 Annual; abbreviated (Metric Units)                                     


          USDA WATER EROSION PREDICTION PROJECT
          -------------------------------------

          HILLSLOPE PROFILE AND WATERSHED MODEL
                     VERSION  2000.100
             June 31,       2000


               TO REPORT PROBLEMS OR TO BE PUT ON THE MAILING
               LIST FOR FUTURE WEPP MODEL RELEASES, PLEASE CONTACT:

                    WEPP TECHNICAL SUPPORT
                    USDA-AGRICULTURAL RESEARCH SERVICE
                    NATIONAL SOIL EROSION RESEARCH LABORATORY
                    1196 BUILDING SOIL, PURDUE UNIVERSITY
                    WEST LAFAYETTE, IN 47907-1196  USA

                    PHONE: (765) 494-8673
                      FAX: (765) 494-5948
                    email:  wepp@ecn.purdue.edu
                      URL:  http://topsoil.nserl.purdue.edu/weppmain/wepp.html


     HILLSLOPE INPUT DATA FILES - VERSION  2000.100
        June 31,       2000


    MANAGEMENT: ../working/wepp-160171.man                        
 MAN. PRACTICE: Two OFEs to drive the Disturbed WEPP interface              
                for forest conditions                                       
                W. Elliot 02/99                                             
         SLOPE: ../working/wepp-160171.slp                        
       CLIMATE: ../working/wepp-160171.cli                        
       Station:  GASCON NM Adjusted +                           CLIGEN VERSION  4.31
          SOIL: ../working/wepp-160171.sol                        
      PLANE  1 LOW                 sandy loam          
      PLANE  2 LOW                 sandy loam          


     ANNUAL AVERAGE SUMMARIES
     ------------------------


I.   RAINFALL AND RUNOFF SUMMARY
     -------- --- ------ -------

      total summary:  years    1 -   30

      2195 storms produced                        19527.91 mm of precipitation
        61 rain storm runoff events produced         55.86 mm of runoff
         1 snow melts and/or
             events during winter produced            0.27 mm of runoff

      annual averages
      ---------------

        Number of years                                   30
        Mean annual precipitation                     650.93    mm
        Mean annual runoff from rainfall                1.86    mm
        Mean annual runoff from snow melt
          and/or rain storm during winter               0.01    mm



II.  ON SITE EFFECTS  ON SITE EFFECTS  ON SITE EFFECTS
     ---------------  ---------------  ---------------


  A.  AREA OF NET SOIL LOSS

      ** Soil Loss (Avg. of Net Detachment Areas) =    0.230 kg/m2 **
      ** Maximum Soil Loss  =    0.386 kg/m2 at  152.44 meters **


      Area of    Soil Loss   Soil Loss   MAX   MAX Loss   MIN   MIN Loss
      Net Loss      MEAN      STDEV      Loss    Point    Loss   Point
        (m)       (kg/m2)     (kg/m2)  (kg/m2)    (m)    (kg/m2)  (m)
------------------------------------------------------------------------
   0.00- 304.88    0.230     0.111      0.386  152.44     0.004     1.52



  C.  SOIL LOSS/DEPOSITION ALONG SLOPE PROFILE

          Profile distances are from top to bottom of hillslope


 distance soil  flow    distance   soil  flow    distance   soil  flow
    (m)   loss  elem       (m)     loss  elem       (m)     loss  elem
         (kg/m2)                  (kg/m2)                  (kg/m2)
------------------------------------------------------------------------

   1.52     0.004  1      103.66     0.308  1      205.79     0.298  2
   3.05     0.004  1      105.18     0.311  1      207.32     0.296  2
   4.57     0.004  1      106.71     0.314  1      208.84     0.294  2
   6.10     0.004  1      108.23     0.317  1      210.37     0.291  2
   7.62     0.004  1      109.76     0.320  1      211.89     0.289  2
   9.15     0.005  1      111.28     0.323  1      213.42     0.287  2
  10.67     0.007  1      112.81     0.326  1      214.94     0.285  2
  12.20     0.011  1      114.33     0.328  1      216.46     0.283  2
  13.72     0.014  1      115.85     0.331  1      217.99     0.281  2
  15.24     0.018  1      117.38     0.334  1      219.51     0.278  2
  16.77     0.023  1      118.90     0.336  1      221.04     0.276  2
  18.29     0.028  1      120.43     0.339  1      222.56     0.274  2
  19.82     0.033  1      121.95     0.341  1      224.09     0.272  2
  21.34     0.039  1      123.48     0.344  1      225.61     0.270  2
  22.87     0.044  1      125.00     0.346  1      227.14     0.268  2
  24.39     0.050  1      126.53     0.349  1      228.66     0.266  2
  25.91     0.056  1      128.05     0.351  1      230.18     0.263  2
  27.44     0.062  1      129.57     0.354  1      231.71     0.258  2
  28.96     0.068  1      131.10     0.356  1      233.23     0.254  2
  30.49     0.074  1      132.62     0.358  1      234.76     0.249  2
  32.01     0.080  1      134.15     0.361  1      236.28     0.245  2
  33.54     0.086  1      135.67     0.363  1      237.81     0.240  2
  35.06     0.093  1      137.20     0.365  1      239.33     0.236  2
  36.59     0.099  1      138.72     0.368  1      240.86     0.231  2
  38.11     0.105  1      140.24     0.370  1      242.38     0.227  2
  39.63     0.111  1      141.77     0.372  1      243.90     0.222  2
  41.16     0.117  1      143.29     0.374  1      245.43     0.218  2
  42.68     0.123  1      144.82     0.376  1      246.95     0.214  2
  44.21     0.128  1      146.34     0.378  1      248.48     0.209  2
  45.73     0.134  1      147.87     0.380  1      250.00     0.205  2
  47.26     0.140  1      149.39     0.382  1      251.53     0.201  2
  48.78     0.146  1      150.92     0.384  1      253.05     0.197  2
  50.31     0.152  1      152.44     0.386  1      254.57     0.192  2
  51.83     0.158  1      153.96     0.386  2      256.10     0.188  2
  53.35     0.164  1      155.49     0.383  2      257.62     0.184  2
  54.88     0.169  1      157.01     0.380  2      259.15     0.180  2
  56.40     0.175  1      158.54     0.377  2      260.67     0.176  2
