 Annual; abbreviated (Metric Units)                                     


          USDA WATER EROSION PREDICTION PROJECT
          -------------------------------------

          HILLSLOPE PROFILE AND WATERSHED MODEL
                     VERSION  2000.100
             June 31,       2000


               TO REPORT PROBLEMS OR TO BE PUT ON THE MAILING
               LIST FOR FUTURE WEPP MODEL RELEASES, PLEASE CONTACT:

                    WEPP TECHNICAL SUPPORT
                    USDA-AGRICULTURAL RESEARCH SERVICE
                    NATIONAL SOIL EROSION RESEARCH LABORATORY
                    1196 BUILDING SOIL, PURDUE UNIVERSITY
                    WEST LAFAYETTE, IN 47907-1196  USA

                    PHONE: (765) 494-8673
                      FAX: (765) 494-5948
                    email:  wepp@ecn.purdue.edu
                      URL:  http://topsoil.nserl.purdue.edu/weppmain/wepp.html


     HILLSLOPE INPUT DATA FILES - VERSION  2000.100
        June 31,       2000


    MANAGEMENT: ../working/wepp-156779.man                        
 MAN. PRACTICE: Two OFEs to drive the Disturbed WEPP interface              
                for forest conditions                                       
                W. Elliot 02/99                                             
         SLOPE: ../working/wepp-156779.slp                        
       CLIMATE: ../working/wepp-156779.cli                        
       Station:  GASCON NM Adjusted +                           CLIGEN VERSION  4.31
          SOIL: ../working/wepp-156779.sol                        
      PLANE  1 HIGH                loam                
      PLANE  2 HIGH                loam                


     ANNUAL AVERAGE SUMMARIES
     ------------------------


I.   RAINFALL AND RUNOFF SUMMARY
     -------- --- ------ -------

      total summary:  years    1 -   30

      2195 storms produced                        19527.91 mm of precipitation
       252 rain storm runoff events produced       1024.85 mm of runoff
        23 snow melts and/or
             events during winter produced          179.99 mm of runoff

      annual averages
      ---------------

        Number of years                                   30
        Mean annual precipitation                     650.93    mm
        Mean annual runoff from rainfall               34.16    mm
        Mean annual runoff from snow melt
          and/or rain storm during winter               6.00    mm



II.  ON SITE EFFECTS  ON SITE EFFECTS  ON SITE EFFECTS
     ---------------  ---------------  ---------------


  A.  AREA OF NET SOIL LOSS

      ** Soil Loss (Avg. of Net Detachment Areas) =    7.954 kg/m2 **
      ** Maximum Soil Loss  =   12.326 kg/m2 at  228.66 meters **


      Area of    Soil Loss   Soil Loss   MAX   MAX Loss   MIN   MIN Loss
      Net Loss      MEAN      STDEV      Loss    Point    Loss   Point
        (m)       (kg/m2)     (kg/m2)  (kg/m2)    (m)    (kg/m2)  (m)
------------------------------------------------------------------------
   0.00- 304.88    7.954     3.638     12.326  228.66     0.237     1.52



  C.  SOIL LOSS/DEPOSITION ALONG SLOPE PROFILE

          Profile distances are from top to bottom of hillslope


 distance soil  flow    distance   soil  flow    distance   soil  flow
    (m)   loss  elem       (m)     loss  elem       (m)     loss  elem
         (kg/m2)                  (kg/m2)                  (kg/m2)
------------------------------------------------------------------------

   1.52     0.237  1      103.66     8.653  1      205.79    11.813  2
   3.05     0.237  1      105.18     8.737  1      207.32    11.848  2
   4.57     0.238  1      106.71     8.820  1      208.84    11.884  2
   6.10     0.246  1      108.23     8.903  1      210.37    11.919  2
   7.62     0.276  1      109.76     8.984  1      211.89    11.954  2
   9.15     0.324  1      111.28     9.066  1      213.42    11.989  2
  10.67     0.387  1      112.81     9.146  1      214.94    12.024  2
  12.20     0.464  1      114.33     9.226  1      216.46    12.058  2
  13.72     0.553  1      115.85     9.305  1      217.99    12.092  2
  15.24     0.654  1      117.38     9.384  1      219.51    12.126  2
  16.77     0.762  1      118.90     9.462  1      221.04    12.160  2
  18.29     0.877  1      120.43     9.539  1      222.56    12.194  2
  19.82     1.002  1      121.95     9.616  1      224.09    12.227  2
  21.34     1.135  1      123.48     9.692  1      225.61    12.260  2
  22.87     1.270  1      125.00     9.768  1      227.14    12.293  2
  24.39     1.408  1      126.53     9.843  1      228.66    12.326  2
  25.91     1.550  1      128.05     9.917  1      230.18    12.278  2
  27.44     1.696  1      129.57     9.991  1      231.71    12.148  2
  28.96     1.844  1      131.10    10.065  1      233.23    12.017  2
  30.49     1.993  1      132.62    10.138  1      234.76    11.884  2
  32.01     2.144  1      134.15    10.210  1      236.28    11.749  2
  33.54     2.297  1      135.67    10.282  1      237.81    11.612  2
  35.06     2.452  1      137.20    10.354  1      239.33    11.473  2
  36.59     2.608  1      138.72    10.425  1      240.86    11.333  2
  38.11     2.765  1      140.24    10.495  1      242.38    11.191  2
  39.63     2.925  1      141.77    10.565  1      243.90    11.047  2
  41.16     3.086  1      143.29    10.635  1      245.43    10.901  2
  42.68     3.247  1      144.82    10.704  1      246.95    10.753  2
  44.21     3.410  1      146.34    10.773  1      248.48    10.603  2
  45.73     3.572  1      147.87    10.841  1      250.00    10.452  2
  47.26     3.736  1      149.39    10.908  1      251.53    10.298  2
  48.78     3.900  1      150.92    10.976  1      253.05    10.143  2
  50.31     4.065  1      152.44    11.043  1      254.57     9.986  2
  51.83     4.231  1      153.96    10.475  2      256.10     9.826  2
  53.35     4.397  1      155.49    10.519  2      257.62     9.665  2
  54.88     4.564  1      157.01    10.563  2      259.15     9.502  2
  56.40     4.731  1      158.54    10.606  2      260.67     9.337  2
