 Annual; abbreviated (Metric Units)                                     


          USDA WATER EROSION PREDICTION PROJECT
          -------------------------------------

          HILLSLOPE PROFILE AND WATERSHED MODEL
                     VERSION  2000.100
             June 31,       2000


               TO REPORT PROBLEMS OR TO BE PUT ON THE MAILING
               LIST FOR FUTURE WEPP MODEL RELEASES, PLEASE CONTACT:

                    WEPP TECHNICAL SUPPORT
                    USDA-AGRICULTURAL RESEARCH SERVICE
                    NATIONAL SOIL EROSION RESEARCH LABORATORY
                    1196 BUILDING SOIL, PURDUE UNIVERSITY
                    WEST LAFAYETTE, IN 47907-1196  USA

                    PHONE: (765) 494-8673
                      FAX: (765) 494-5948
                    email:  wepp@ecn.purdue.edu
                      URL:  http://topsoil.nserl.purdue.edu/weppmain/wepp.html


     HILLSLOPE INPUT DATA FILES - VERSION  2000.100
        June 31,       2000


    MANAGEMENT: ../working/wepp-157297.man                        
 MAN. PRACTICE: Two OFEs to drive the Disturbed WEPP interface              
                for forest conditions                                       
                W. Elliot 02/99                                             
         SLOPE: ../working/wepp-157297.slp                        
       CLIMATE: ../working/wepp-157297.cli                        
       Station:  GASCON NM Adjusted +                           CLIGEN VERSION  4.31
          SOIL: ../working/wepp-157297.sol                        
      PLANE  1 LOW                 loam                
      PLANE  2 LOW                 loam                


     ANNUAL AVERAGE SUMMARIES
     ------------------------


I.   RAINFALL AND RUNOFF SUMMARY
     -------- --- ------ -------

      total summary:  years    1 -   30

      2195 storms produced                        19527.91 mm of precipitation
        87 rain storm runoff events produced        217.45 mm of runoff
        25 snow melts and/or
             events during winter produced          140.84 mm of runoff

      annual averages
      ---------------

        Number of years                                   30
        Mean annual precipitation                     650.93    mm
        Mean annual runoff from rainfall                7.25    mm
        Mean annual runoff from snow melt
          and/or rain storm during winter               4.69    mm



II.  ON SITE EFFECTS  ON SITE EFFECTS  ON SITE EFFECTS
     ---------------  ---------------  ---------------


  A.  AREA OF NET SOIL LOSS

      ** Soil Loss (Avg. of Net Detachment Areas) =    1.593 kg/m2 **
      ** Maximum Soil Loss  =    2.326 kg/m2 at  228.66 meters **


      Area of    Soil Loss   Soil Loss   MAX   MAX Loss   MIN   MIN Loss
      Net Loss      MEAN      STDEV      Loss    Point    Loss   Point
        (m)       (kg/m2)     (kg/m2)  (kg/m2)    (m)    (kg/m2)  (m)
------------------------------------------------------------------------
   0.00- 304.88    1.593     0.694      2.326  228.66     0.027     1.52



  C.  SOIL LOSS/DEPOSITION ALONG SLOPE PROFILE

          Profile distances are from top to bottom of hillslope


 distance soil  flow    distance   soil  flow    distance   soil  flow
    (m)   loss  elem       (m)     loss  elem       (m)     loss  elem
         (kg/m2)                  (kg/m2)                  (kg/m2)
------------------------------------------------------------------------

   1.52     0.027  1      103.66     1.694  1      205.79     2.279  2
   3.05     0.027  1      105.18     1.713  1      207.32     2.282  2
   4.57     0.027  1      106.71     1.731  1      208.84     2.286  2
   6.10     0.028  1      108.23     1.749  1      210.37     2.289  2
   7.62     0.031  1      109.76     1.767  1      211.89     2.292  2
   9.15     0.040  1      111.28     1.785  1      213.42     2.295  2
  10.67     0.052  1      112.81     1.803  1      214.94     2.298  2
  12.20     0.068  1      114.33     1.820  1      216.46     2.301  2
  13.72     0.086  1      115.85     1.838  1      217.99     2.305  2
  15.24     0.106  1      117.38     1.855  1      219.51     2.308  2
  16.77     0.127  1      118.90     1.872  1      221.04     2.311  2
  18.29     0.150  1      120.43     1.889  1      222.56     2.314  2
  19.82     0.174  1      121.95     1.906  1      224.09     2.317  2
  21.34     0.199  1      123.48     1.923  1      225.61     2.320  2
  22.87     0.225  1      125.00     1.939  1      227.14     2.323  2
  24.39     0.252  1      126.53     1.956  1      228.66     2.326  2
  25.91     0.279  1      128.05     1.972  1      230.18     2.317  2
  27.44     0.306  1      129.57     1.988  1      231.71     2.297  2
  28.96     0.334  1      131.10     2.005  1      233.23     2.276  2
  30.49     0.362  1      132.62     2.021  1      234.76     2.255  2
  32.01     0.391  1      134.15     2.037  1      236.28     2.234  2
  33.54     0.420  1      135.67     2.052  1      237.81     2.213  2
  35.06     0.449  1      137.20     2.068  1      239.33     2.192  2
  36.59     0.479  1      138.72     2.084  1      240.86     2.171  2
  38.11     0.509  1      140.24     2.099  1      242.38     2.149  2
  39.63     0.539  1      141.77     2.115  1      243.90     2.127  2
  41.16     0.570  1      143.29     2.130  1      245.43     2.106  2
  42.68     0.602  1      144.82     2.145  1      246.95     2.083  2
  44.21     0.634  1      146.34     2.160  1      248.48     2.061  2
  45.73     0.666  1      147.87     2.175  1      250.00     2.039  2
  47.26     0.699  1      149.39     2.190  1      251.53     2.016  2
  48.78     0.731  1      150.92     2.205  1      253.05     1.993  2
  50.31     0.763  1      152.44     2.220  1      254.57     1.970  2
  51.83     0.796  1      153.96     2.151  2      256.10     1.947  2
  53.35     0.828  1      155.49     2.155  2      257.62     1.924  2
  54.88     0.861  1      157.01     2.160  2      259.15     1.900  2
  56.40     0.894  1      158.54     2.164  2      260.67     1.877  2
